nodes,packets_sent,packets_received,pdr,avg_delay_ms,throughput_kbps,total_energy_mj,computation_ms,memory_kb
2,2,2,100,29.0592,26.6688,0.175882,0.087941,4.84
5,5,5,100,29.0592,66.672,0.439705,0.087941,12.1
10,10,10,100,29.0592,133.344,0.87941,0.087941,24.2
20,20,16,100,29.0592,213.35,1.75882,0.087941,48.4
50,50,50,100,29.0592,222.24,4.39705,0.087941,121
2,2,2,100,29.0592,26.6688,0.175882,0.087941,4.84
20,20,16,100,29.0592,213.35,1.75882,0.087941,48.4
5,5,5,100,29.0592,66.672,0.439705,0.087941,12.1
2,2,2,100,29.0592,26.6688,0.175882,0.087941,4.84
2,2,2,100,29.0592,26.6688,0.175882,0.087941,4.84
2,2,2,100,29.0592,26.6688,0.175882,0.087941,4.84
5,5,5,100,29.0592,66.672,0.439705,0.087941,12.1
5,5,5,100,29.0592,66.672,0.439705,0.087941,12.1
5,5,5,100,29.0592,66.672,0.439705,0.087941,12.1
5,5,5,100,29.0592,66.672,0.439705,0.087941,12.1
